April/Apr.                                                  四月/四月。                                                                                                                  
can(2)                                                      可以(2)                                                                                                                         
can(1)                                                      可以(1)                                                                                                                         
camp                                                        營                                                                                                                               
camera                                                      相機                                                                                                                            
camel                                                       駱駝                                                                                                                            
call                                                        稱呼                                                                                                                            
cage                                                        籠                                                                                                                               
chart                                                       圖表                                                                                                                            
color                                                       顏色                                                                                                                            
cola/Coke                                                   可樂/可樂                                                                                                                     
coffee                                                      咖啡                                                                                                                            
cocoa                                                       可可                                                                                                                            
coat                                                        外套                                                                                                                            
coast                                                       海岸                                                                                                                            
cloud                                                       雲                                                                                                                               
close(2)                                                    關閉(2)                                                                                                                         
close(1)                                                    關閉(1)                                                                                                                         
clock                                                       鐘                                                                                                                               
climb                                                       爬                                                                                                                               
cake                                                        蛋糕                                                                                                                            
clean                                                       乾淨的                                                                                                                         
class                                                       班級                                                                                                                            
chance                                                      機會                                                                                                                            
chase                                                       追趕                                                                                                                            
check                                                       查看                                                                                                                            
chick                                                       小雞                                                                                                                            
chicken                                                     雞                                                                                                                               
chief                                                       首席                                                                                                                            
city                                                        城市                                                                                                                            
child                                                       孩子                                                                                                                            
