Bible/bible                                                 聖經/聖經                                                                                                                     
drip                                                        滴                                                                                                                               
disappoint(ment)                                            失望                                                                                                                            
disco/discotheque                                           迪斯科/迪斯科舞廳                                                                                                         
discount                                                    折扣                                                                                                                            
desirable                                                   可取的                                                                                                                         
deposit                                                     訂金                                                                                                                            
description                                                 描述                                                                                                                            
democratic                                                  民主的                                                                                                                         
democracy                                                   民主                                                                                                                            
delivery                                                    送貨                                                                                                                            
definition                                                  定義                                                                                                                            
define                                                      定義                                                                                                                            
deepen                                                      深化                                                                                                                            
deed                                                        契據                                                                                                                            
designer                                                    設計師                                                                                                                         
dive                                                        潛水                                                                                                                            
deck                                                        甲板                                                                                                                            
decade                                                      十年                                                                                                                            
dealer                                                      經銷商                                                                                                                         
deafen                                                      聾子                                                                                                                            
dash                                                        短跑                                                                                                                            
darling                                                     寵兒                                                                                                                            
dare                                                        敢                                                                                                                               
dam                                                         壩                                                                                                                               
dairy                                                       奶製品                                                                                                                         
disk/disc                                                   磁盤/磁盤                                                                                                                     
doubtful                                                    疑                                                                                                                               
ditch                                                       溝渠                                                                                                                            
dodge                                                       躲閃                                                                                                                            
drain                                                       流走                                                                                                                            
dock                                                        碼頭                                                                                                                            
domestic                                                    國內的                                                                                                                         
discovery                                                   發現                                                                                                                            
dislike                                                     不喜歡                                                                                                                         
dramatic                                                    戲劇性                                                                                                                         
dose                                                        劑量                                                                                                                            
disease                                                     疾病                                                                                                                            
employer                                                    雇主                                                                                                                            
edition                                                     版                                                                                                                               
echo                                                        迴聲                                                                                                                            
elderly                                                     老年                                                                                                                            
election                                                    選舉                                                                                                                            
earnings                                                    收益                                                                                                                            
empty                                                       空的                                                                                                                            
erase                                                       擦除                                                                                                                            
envy                                                        嫉妒                                                                                                                            
employee                                                    員工                                                                                                                            
excellence                                                  卓越                                                                                                                            
edit                                                        編輯                                                                                                                            
expectation                                                 期待                                                                                                                            
escape                                                      逃脫                                                                                                                            
editor                                                      編輯                                                                                                                            
educate                                                     教育                                                                                                                            
elbow                                                       彎頭                                                                                                                            
educational                                                 有教育意義的                                                                                                                
employ(ment)                                                就業                                                                                                                            
evil                                                        邪惡的                                                                                                                         
emphasize                                                   強調                                                                                                                            
efficient                                                   高效的                                                                                                                         
environmental                                               環境的                                                                                                                         
engage(ment)                                                訂婚）                                                                                                                         
engine                                                      引擎                                                                                                                            
exit                                                        出口                                                                                                                            
engineer                                                    工程師                                                                                                                         
expense                                                     費用                                                                                                                            
experiment                                                  實驗                                                                                                                            
existence                                                   存在                                                                                                                            
energetic                                                   精力充沛                                                                                                                      
exhibition                                                  展覽                                                                                                                            
explode                                                     爆炸                                                                                                                            
electronic                                                  電子的                                                                                                                         
export                                                      出口                                                                                                                            
enjoyable                                                   愉快的                                                                                                                         
extreme                                                     極端                                                                                                                            
enable                                                      使能夠                                                                                                                         
expressive                                                  富有表現力的                                                                                                                
electricity                                                 電                                                                                                                               
entry                                                       入口                                                                                                                            
emperor                                                     皇帝                                                                                                                            
electric/electrical                                         電/電                                                                                                                           
eager                                                       渴望的                                                                                                                         
exchange                                                    交換                                                                                                                            
emergency                                                   緊急情況                                                                                                                      
expression                                                  表達                                                                                                                            
furniture                                                   家具                                                                                                                            
fairy                                                       仙女                                                                                                                            
faith                                                       信仰                                                                                                                            
fable                                                       寓言                                                                                                                            
fake                                                        偽造的                                                                                                                         
faucet/tap                                                  水龍頭                                                                                                                         
familiar                                                    熟悉的                                                                                                                         
frequent                                                    經常                                                                                                                            
fairly                                                      相當                                                                                                                            
faint                                                       頭暈的                                                                                                                         
freeze                                                      凍結                                                                                                                            
factor                                                      因素                                                                                                                            
fade                                                        褪色                                                                                                                            
fund                                                        基金                                                                                                                            
fist                                                        拳頭                                                                                                                            
friendship                                                  友誼                                                                                                                            
flavor                                                      味道                                                                                                                            
flea                                                        跳蚤                                                                                                                            
found                                                       成立                                                                                                                            
flesh                                                       肉                                                                                                                               
float                                                       漂浮                                                                                                                            
flock                                                       群                                                                                                                               
frustrate                                                   阻撓                                                                                                                            
flame                                                       火焰                                                                                                                            
fortune                                                     財富                                                                                                                            
fold                                                        折疊                                                                                                                            
folk                                                        民間                                                                                                                            
fry                                                         炒                                                                                                                               
follower                                                    追隨者                                                                                                                         
fond                                                        喜歡                                                                                                                            
forehead/brow                                               前額/眉毛                                                                                                                     
forever                                                     永遠                                                                                                                            
forth                                                       向前                                                                                                                            
fax                                                         傳真                                                                                                                            
fan(2)/fanatic                                              粉絲(2)/狂熱者                                                                                                               
fancy                                                       想要                                                                                                                            
fare                                                        票價                                                                                                                            
farther                                                     更遠                                                                                                                            
fashion                                                     時尚                                                                                                                            
fashionable                                                 時髦                                                                                                                            
fasten                                                      系                                                                                                                               
fate                                                        命運                                                                                                                            
firework                                                    焰火                                                                                                                            
feather                                                     羽毛                                                                                                                            
feature                                                     特徵                                                                                                                            
file                                                        文件                                                                                                                            
fur                                                         毛皮                                                                                                                            
fountain                                                    噴泉                                                                                                                            
gymnasium/gym                                               體育館/健身房                                                                                                               
gallon                                                      加侖                                                                                                                            
grocery                                                     雜貨店                                                                                                                         
greenhouse                                                  溫室                                                                                                                            
graduate                                                    畢業                                                                                                                            
gum                                                         膠                                                                                                                               
guidance                                                    指導                                                                                                                            
grin                                                        咧嘴一笑                                                                                                                      
guardian                                                    監護人                                                                                                                         
grab                                                        抓住                                                                                                                            
glance                                                      一瞥                                                                                                                            
global                                                      全球的                                                                                                                         
gap                                                         差距                                                                                                                            
glory                                                       榮耀                                                                                                                            
glow                                                        輝光                                                                                                                            
gossip                                                      閒話                                                                                                                            
garlic                                                      大蒜                                                                                                                            
governor                                                    州長                                                                                                                            
gesture                                                     手勢                                                                                                                            
gown                                                        袍                                                                                                                               
gradual                                                     漸進的                                                                                                                         
grain                                                       糧食                                                                                                                            
gamble                                                      賭                                                                                                                               
gram                                                        公克                                                                                                                            
gang                                                        團伙                                                                                                                            
grasshopper                                                 蚱蜢                                                                                                                            
grasp                                                       抓牢                                                                                                                            
gasoline/gasolene/gas                                       汽油/汽油/煤氣                                                                                                              
honor                                                       榮譽                                                                                                                            
headquarters                                                總部                                                                                                                            
hug                                                         擁抱                                                                                                                            
hell                                                        地獄                                                                                                                            
heal                                                        癒合                                                                                                                            
heap                                                        堆                                                                                                                               
historian                                                   歷史學家                                                                                                                      
horror                                                      恐怖                                                                                                                            
helmet                                                      頭盔                                                                                                                            
heel                                                        腳跟                                                                                                                            
horrible                                                    可怕                                                                                                                            
horn                                                        喇叭                                                                                                                            
hallway                                                     門廳                                                                                                                            
hike                                                        遠足                                                                                                                            
honesty                                                     誠實                                                                                                                            
heaven                                                      天堂                                                                                                                            
hint                                                        暗示                                                                                                                            
hive                                                        蜂巢                                                                                                                            
harbor                                                      港口                                                                                                                            
housekeeper                                                 管家                                                                                                                            
handy                                                       便利                                                                                                                            
harm                                                        傷害                                                                                                                            
harmful                                                     有害                                                                                                                            
hourly                                                      每小時                                                                                                                         
holy                                                        聖                                                                                                                               
hollow                                                      空洞的                                                                                                                         
harvest                                                     收成                                                                                                                            
hesitate                                                    猶豫                                                                                                                            
headline                                                    標題                                                                                                                            
humorous                                                    幽默                                                                                                                            
historical                                                  歷史的                                                                                                                         
historic                                                    歷史性                                                                                                                         
hasty                                                       匆忙的                                                                                                                         
hometown                                                    家鄉                                                                                                                            
handful                                                     一把                                                                                                                            
hatch                                                       孵化                                                                                                                            
hawk                                                        鷹                                                                                                                               
hay                                                         乾草                                                                                                                            
hush                                                        噓                                                                                                                               
hut                                                         小屋                                                                                                                            
hairdresser                                                 理髮師                                                                                                                         
indoor                                                      室內的                                                                                                                         
inventor                                                    發明者                                                                                                                         
indoors                                                     在室內                                                                                                                         
industrial                                                  工業的                                                                                                                         
inferior                                                    下                                                                                                                               
inform                                                      通知                                                                                                                            
injure                                                      損傷                                                                                                                            
injury                                                      受傷                                                                                                                            
inn                                                         客棧                                                                                                                            
inner                                                       內                                                                                                                               
innocent                                                    清白的                                                                                                                         
inspect                                                     檢查                                                                                                                            
inspector                                                   檢查員                                                                                                                         
instead                                                     反而                                                                                                                            
instruction                                                 操作說明                                                                                                                      
internal                                                    內部的                                                                                                                         
interrupt                                                   打斷                                                                                                                            
introduction                                                介紹                                                                                                                            
investigate                                                 調查                                                                                                                            
ivory                                                       象牙                                                                                                                            
individual                                                  個人                                                                                                                            
ignorance                                                   無知                                                                                                                            
identity                                                    身份                                                                                                                            
ideal                                                       理想的                                                                                                                         
icy                                                         冰冷的                                                                                                                         
image                                                       圖片                                                                                                                            
imagination                                                 想像力                                                                                                                         
immediate                                                   即時                                                                                                                            
import                                                      進口                                                                                                                            
impress                                                     留下深刻印象                                                                                                                
impressive                                                  感人的                                                                                                                         
indeed                                                      的確                                                                                                                            
journal                                                     雜誌                                                                                                                            
jewelry                                                     珠寶                                                                                                                            
