Antarctic/antarctic                                         南極/南極                                                                                                                     
accusation                                                  指控                                                                                                                            
accumulation                                                積累                                                                                                                            
accumulate                                                  積累                                                                                                                            
accounting                                                  會計                                                                                                                            
ambush                                                      伏擊                                                                                                                            
accordance                                                  按照                                                                                                                            
accord                                                      符合                                                                                                                            
acceleration                                                加速度                                                                                                                         
accelerate                                                  加速                                                                                                                            
abundance                                                   豐富                                                                                                                            
absentminded                                                恍惚                                                                                                                            
abound                                                      盛產                                                                                                                            
aborigine                                                   原住民                                                                                                                         
aboriginal                                                  土著                                                                                                                            
administer/administrate                                     管理/管理                                                                                                                     
amiable                                                     可親                                                                                                                            
ambulance                                                   救護車                                                                                                                         
ambiguous                                                   模糊的                                                                                                                         
ambiguity                                                   歧義                                                                                                                            
alternative                                                 選擇                                                                                                                            
alongside                                                   旁邊                                                                                                                            
allocate                                                    分配                                                                                                                            
alliance                                                    聯盟                                                                                                                            
alienate                                                    離間                                                                                                                            
aggression                                                  侵略                                                                                                                            
alcoholic                                                   酒鬼                                                                                                                            
addiction                                                   癮                                                                                                                               
administration                                              行政                                                                                                                            
administrative                                              行政的                                                                                                                         
administrator                                               行政人員                                                                                                                      
advocate                                                    提倡                                                                                                                            
affectionate                                                親熱                                                                                                                            
affirm                                                      確認                                                                                                                            
bout                                                        回合                                                                                                                            
boycott                                                     聯合抵制                                                                                                                      
breakdown                                                   分解                                                                                                                            
breakthrough                                                突破                                                                                                                            
breakup                                                     分手                                                                                                                            
brew                                                        釀造                                                                                                                            
brink                                                       邊緣                                                                                                                            
brisk                                                       輕快                                                                                                                            
brochure                                                    小冊子                                                                                                                         
brute                                                       野蠻的                                                                                                                         
buckle                                                      扣上                                                                                                                            
bulky                                                       笨重                                                                                                                            
bureaucracy                                                 官僚                                                                                                                            
burial                                                      葬禮                                                                                                                            
byte                                                        字節                                                                                                                            
biochemistry                                                生物化學                                                                                                                      
bondage                                                     束縛                                                                                                                            
barometer                                                   晴雨表                                                                                                                         
beckon                                                      招手                                                                                                                            
besiege                                                     圍攻                                                                                                                            
betray                                                      背叛                                                                                                                            
beverage                                                    飲料                                                                                                                            
bias                                                        偏見                                                                                                                            
binoculars                                                  望遠鏡                                                                                                                         
biological                                                  生物                                                                                                                            
bizarre                                                     奇怪的                                                                                                                         
bleak                                                       蒼涼                                                                                                                            
blunder                                                     錯誤                                                                                                                            
blunt                                                       鈍                                                                                                                               
bombard                                                     轟擊                                                                                                                            
boost                                                       促進                                                                                                                            
conquest                                                    征服                                                                                                                            
conscientious                                               認真的                                                                                                                         
consensus                                                   共識                                                                                                                            
conservation                                                保護                                                                                                                            
consolation                                                 安慰                                                                                                                            
conspiracy                                                  陰謀                                                                                                                            
constituent                                                 組分                                                                                                                            
consultation                                                諮詢                                                                                                                            
consumption                                                 消耗                                                                                                                            
contemplation                                               沉思                                                                                                                            
contestant                                                  選手                                                                                                                            
contractor                                                  承包商                                                                                                                         
contradict                                                  頂撞                                                                                                                            
contradiction                                               矛盾                                                                                                                            
complexion                                                  膚色                                                                                                                            
controversial                                               有爭議的                                                                                                                      
congressman/congresswoman                                   國會議員/國會女議員                                                                                                      
confrontation                                               對抗                                                                                                                            
conform                                                     符合                                                                                                                            
confidential                                                機密的                                                                                                                         
confer                                                      授予                                                                                                                            
condense                                                    凝結                                                                                                                            
concise                                                     簡潔的                                                                                                                         
concession                                                  讓步                                                                                                                            
conception                                                  概念                                                                                                                            
conceit                                                     自負                                                                                                                            
concede                                                     承認                                                                                                                            
comprise                                                    包括                                                                                                                            
comprehensive                                               綜合的                                                                                                                         
component                                                   零件                                                                                                                            
complication                                                並發症                                                                                                                         
complexity                                                  複雜                                                                                                                            
credibility                                                 可信度                                                                                                                         
coverage                                                    報導                                                                                                                            
customary                                                   習慣的                                                                                                                         
cumulative                                                  累積的                                                                                                                         
cultivate                                                   培育                                                                                                                            
crust                                                       脆皮                                                                                                                            
crumble                                                     崩潰                                                                                                                            
crumb                                                       屑                                                                                                                               
cruiser                                                     巡洋艦                                                                                                                         
cruise                                                      巡航                                                                                                                            
crude                                                       原油                                                                                                                            
crucial                                                     至關重要的                                                                                                                   
crooked                                                     歪                                                                                                                               
crook                                                       騙子                                                                                                                            
criterion                                                   標準                                                                                                                            
credible                                                    可信的                                                                                                                         
controversy                                                 爭議                                                                                                                            
cramp                                                       抽筋                                                                                                                            
covet                                                       貪圖                                                                                                                            
counterpart                                                 對方                                                                                                                            
cosmopolitan                                                大都會                                                                                                                         
cosmetics                                                   化妝品                                                                                                                         
cosmetic                                                    化妝品                                                                                                                         
corruption                                                  腐敗                                                                                                                            
correspondent                                               通訊員                                                                                                                         
corpse                                                      屍體                                                                                                                            
corps                                                       兵團                                                                                                                            
corporate                                                   公司的                                                                                                                         
core                                                        核                                                                                                                               
cordial                                                     親切                                                                                                                            
coordinate                                                  協調                                                                                                                            
conviction                                                  定罪                                                                                                                            
charcoal                                                    木炭                                                                                                                            
cavalry                                                     騎兵                                                                                                                            
cavity                                                      空腔                                                                                                                            
cemetery                                                    公墓                                                                                                                            
certainty                                                   肯定                                                                                                                            
certify                                                     證明                                                                                                                            
champagne                                                   香檳酒                                                                                                                         
chaos                                                       混亂                                                                                                                            
characterize                                                表徵                                                                                                                            
cater                                                       迎合                                                                                                                            
chariot                                                     戰車                                                                                                                            
charitable                                                  慈善                                                                                                                            
cholesterol                                                 膽固醇                                                                                                                         
chronic                                                     慢性的                                                                                                                         
chuckle                                                     輕笑                                                                                                                            
chunk                                                       塊                                                                                                                               
civilize                                                    教化                                                                                                                            
compile                                                     編譯                                                                                                                            
catastrophe                                                 災難                                                                                                                            
casualty                                                    傷亡                                                                                                                            
cashier                                                     出納員                                                                                                                         
carol                                                       頌歌                                                                                                                            
caress                                                      撫摸                                                                                                                            
carbohydrate                                                醣類                                                                                                                            
captivity                                                   囚禁                                                                                                                            
captive                                                     俘虜                                                                                                                            
caption                                                     標題                                                                                                                            
capsule                                                     膠囊                                                                                                                            
capability                                                  能力                                                                                                                            
canvas                                                      帆布                                                                                                                            
calcium                                                     鈣                                                                                                                               
caffeine                                                    咖啡因                                                                                                                         
complement                                                  補充                                                                                                                            
clarity                                                     明晰                                                                                                                            
competent                                                   勝任的                                                                                                                         
competence                                                  權限                                                                                                                            
compensation                                                賠償                                                                                                                            
compensate                                                  補償                                                                                                                            
compatible                                                  兼容的                                                                                                                         
comparative                                                 比較                                                                                                                            
comparable                                                  可比                                                                                                                            
companionship                                               友誼                                                                                                                            
communicative                                               交際的                                                                                                                         
commitment                                                  承諾                                                                                                                            
commentary                                                  評論                                                                                                                            
commence                                                    開始                                                                                                                            
commemorate                                                 紀念                                                                                                                            
columnist                                                   專欄作家                                                                                                                      
colloquial                                                  口語化的                                                                                                                      
collide                                                     碰撞                                                                                                                            
collision                                                   碰撞                                                                                                                            
cleanse                                                     潔淨                                                                                                                            
