Confucius                                                   孔子                                                                                                                            
crayon                                                      蠟筆                                                                                                                            
crazy                                                       瘋狂的                                                                                                                         
cream                                                       奶油                                                                                                                            
create                                                      創造                                                                                                                            
chin                                                        下巴                                                                                                                            
clothe                                                      衣服                                                                                                                            
cereal                                                      穀物                                                                                                                            
captain                                                     隊長                                                                                                                            
crime                                                       犯罪                                                                                                                            
clay                                                        粘土                                                                                                                            
crisis                                                      危機                                                                                                                            
closet                                                      壁櫥                                                                                                                            
curtain/drape                                               窗簾/懸垂                                                                                                                     
charge                                                      收費                                                                                                                            
chocolate                                                   巧克力                                                                                                                         
crop                                                        莊稼                                                                                                                            
cross                                                       叉                                                                                                                               
claw                                                        爪                                                                                                                               
choice                                                      選擇                                                                                                                            
crow(2)                                                     烏鴉(2)                                                                                                                         
controller                                                  控制器                                                                                                                         
complete                                                    完全的                                                                                                                         
complain                                                    投訴                                                                                                                            
collect                                                     蒐集                                                                                                                            
cooker                                                      炊具                                                                                                                            
consider                                                    考慮                                                                                                                            
congratulation(s)                                           祝賀                                                                                                                            
conversation                                                對話                                                                                                                            
convenient                                                  方便的                                                                                                                         
corner                                                      角落                                                                                                                            
control                                                     控制                                                                                                                            
colorful                                                    豐富多彩的                                                                                                                   
comb                                                        梳子                                                                                                                            
conflict                                                    衝突                                                                                                                            
compare                                                     相比                                                                                                                            
confirm                                                     確認                                                                                                                            
company                                                     公司                                                                                                                            
cabbage                                                     捲心菜                                                                                                                         
coin                                                        硬幣                                                                                                                            
copy/Xerox/xerox                                            複印/施樂/施樂                                                                                                              
computer                                                    計算機                                                                                                                         
cable                                                       電纜                                                                                                                            
comfortable                                                 舒服的                                                                                                                         
contact                                                     接觸                                                                                                                            
contain                                                     包含                                                                                                                            
display                                                     展示                                                                                                                            
