AIDS/acquired_immune_deficiency_syndrome                    艾滋病/獲得性免疫缺陷綜合症                                                                                          
clumsy                                                      笨拙                                                                                                                            
coarse                                                      粗                                                                                                                               
contrast                                                    對比                                                                                                                            
convince                                                    說服                                                                                                                            
criticism                                                   批評                                                                                                                            
convey                                                      傳達                                                                                                                            
converse                                                    交談                                                                                                                            
conventional                                                傳統的                                                                                                                         
convention                                                  慣例                                                                                                                            
criticize                                                   批評                                                                                                                            
convenience                                                 方便                                                                                                                            
contribution                                                貢獻                                                                                                                            
contribute                                                  貢獻                                                                                                                            
cruelty                                                     殘酷                                                                                                                            
cooperate                                                   合作                                                                                                                            
crush                                                       壓碎                                                                                                                            
cube                                                        立方體                                                                                                                         
contrary                                                    相反                                                                                                                            
continuous                                                  連續的                                                                                                                         
continual                                                   連續的                                                                                                                         
cucumber                                                    黃瓜                                                                                                                            
context                                                     語境                                                                                                                            
contest                                                     比賽                                                                                                                            
content(s)(3)                                               內容(3)                                                                                                                         
content(ment)(2)                                            內容(ment)(2)                                                                                                                   
cue                                                         線索                                                                                                                            
council                                                     理事會                                                                                                                         
creativity                                                  創造力                                                                                                                         
creation                                                    創建                                                                                                                            
cram                                                        補習班                                                                                                                         
craft                                                       工藝                                                                                                                            
crack                                                       裂縫                                                                                                                            
critic                                                      評論家                                                                                                                         
courtesy                                                    禮貌                                                                                                                            
courteous                                                   有禮貌                                                                                                                         
courageous                                                  勇敢                                                                                                                            
counter(2)                                                  櫃檯(2)                                                                                                                         
counter(1)                                                  櫃檯(1)                                                                                                                         
cunning                                                     狡猾                                                                                                                            
critical                                                    批判的                                                                                                                         
cottage                                                     小屋                                                                                                                            
costume                                                     戲服                                                                                                                            
correspond                                                  對應                                                                                                                            
cork                                                        軟木                                                                                                                            
cord                                                        繩索                                                                                                                            
copper                                                      銅                                                                                                                               
cope                                                        應付                                                                                                                            
cooperative                                                 合作社                                                                                                                         
cooperation                                                 合作                                                                                                                            
concerning                                                  關於                                                                                                                            
conquer                                                     征服                                                                                                                            
conjunction                                                 連詞                                                                                                                            
congress                                                    國會                                                                                                                            
congratulate                                                祝賀                                                                                                                            
confusion                                                   混亂                                                                                                                            
confine                                                     局限                                                                                                                            
confidence                                                  信心                                                                                                                            
confess                                                     承認                                                                                                                            
conference                                                  會議                                                                                                                            
conductor                                                   導體                                                                                                                            
concrete                                                    具體的                                                                                                                         
conscience                                                  良心                                                                                                                            
concept                                                     概念                                                                                                                            
concentration                                               專注                                                                                                                            
concentrate                                                 集中                                                                                                                            
composition                                                 作品                                                                                                                            
composer                                                    作曲家                                                                                                                         
compose                                                     撰寫                                                                                                                            
complicate                                                  複雜化                                                                                                                         
competitor                                                  競爭者                                                                                                                         
competitive                                                 競爭的                                                                                                                         
