AI/artificial_intelligence                                  人工智能/人工智能                                                                                                         
clockwise                                                   順時針                                                                                                                         
clover                                                      三葉草                                                                                                                         
cluster                                                     簇                                                                                                                               
clutch                                                      離合器                                                                                                                         
coastline                                                   海岸線                                                                                                                         
cocoon                                                      繭                                                                                                                               
coil                                                        線圈                                                                                                                            
curry                                                       咖哩                                                                                                                            
colonel                                                     上校                                                                                                                            
colonial                                                    殖民                                                                                                                            
combat                                                      戰鬥                                                                                                                            
comedian                                                    喜劇演員                                                                                                                      
comet                                                       彗星                                                                                                                            
commission                                                  委員會                                                                                                                         
commodity                                                   商品                                                                                                                            
commonplace                                                 平凡                                                                                                                            
communism                                                   共產主義                                                                                                                      
communist                                                   共產                                                                                                                            
counterclockwise                                            逆時針                                                                                                                         
convert                                                     兌換                                                                                                                            
convict                                                     定罪                                                                                                                            
copyright                                                   版權                                                                                                                            
coral                                                       珊瑚                                                                                                                            
corporation                                                 公司                                                                                                                            
correspondence                                              一致                                                                                                                            
corridor                                                    走廊                                                                                                                            
corrupt                                                     腐敗                                                                                                                            
counsel                                                     法律顧問                                                                                                                      
counselor                                                   顧問                                                                                                                            
continuity                                                  連續性                                                                                                                         
coupon                                                      優惠券                                                                                                                         
courtyard                                                   庭院                                                                                                                            
cowardly                                                    膽小                                                                                                                            
cozy                                                        舒適                                                                                                                            
cracker                                                     餅乾                                                                                                                            
crater                                                      隕石坑                                                                                                                         
creak                                                       吱吱作響                                                                                                                      
creek                                                       溪                                                                                                                               
crib                                                        嬰兒床                                                                                                                         
crocodile                                                   鱷魚                                                                                                                            
crunch                                                      緊縮                                                                                                                            
curriculum                                                  課程                                                                                                                            
currency                                                    貨幣                                                                                                                            
curb                                                        抑制                                                                                                                            
consent                                                     同意                                                                                                                            
conserve                                                    養護                                                                                                                            
considerate                                                 周到                                                                                                                            
cuisine                                                     美食                                                                                                                            
console                                                     安慰                                                                                                                            
constitutional                                              憲政的                                                                                                                         
crystal                                                     水晶                                                                                                                            
commentator                                                 評論員                                                                                                                         
contagious                                                  傳染性的                                                                                                                      
contaminate                                                 污染                                                                                                                            
contemplate                                                 沉思                                                                                                                            
contemporary                                                當代的                                                                                                                         
contempt                                                    鄙視                                                                                                                            
contend                                                     抗衡                                                                                                                            
crouch                                                      蹲伏                                                                                                                            
continental                                                 大陸的                                                                                                                         
crossing                                                    穿越                                                                                                                            
celery                                                      芹菜                                                                                                                            
checkup                                                     清理                                                                                                                            
check-out                                                   查看                                                                                                                            
check-in                                                    報到                                                                                                                            
chatter                                                     喋喋不休                                                                                                                      
chant                                                       唄                                                                                                                               
chairperson/chair/chairman/chairwoman                       主席/主席/主席/女主席                                                                                                    
certificate                                                 證書                                                                                                                            
ceremony                                                    儀式                                                                                                                            
carbon                                                      碳                                                                                                                               
cardboard                                                   紙板                                                                                                                            
cell-phone/cellphone/cellular_phone/mobile_phone            手機/手機/cellular_phone/mobile_phone                                                                                         
cello                                                       大提琴                                                                                                                         
cellar                                                      地窖                                                                                                                            
checkbook                                                   支票簿                                                                                                                         
carefree                                                    暢快                                                                                                                            
celebrity                                                   名人                                                                                                                            
cactus                                                      仙人掌                                                                                                                         
caretaker                                                   看門人                                                                                                                         
carnation                                                   康乃馨                                                                                                                         
carnival                                                    狂歡                                                                                                                            
